Souhait=inconnU/Installé/suppRimé/Purgé/H=à garder 
| État=Non/Installé/fichier-Config/dépaqUeté/échec-conFig/H=semi-installé 
ii libident 0.22-2.2
ii libidl0 0.8.2-1
ii libidn11 0.3.4-1
ii libijs-0.34 0.34-1
ii libisc7 9.2.3-2
ii libisccc0 9.2.3-2
ii libisccfg0 9.2.3-2
ii libiw27 26+27pre9-2
ii libjcode-perl 2.13-2
ii libjcode-pm-perl 0.83-1
ii libjpeg62 6b-9
ii libjpeg62-dev 6b-9
ii libkeynote0 2.3-10
ii libkpathsea3 2.0.2-7
ii libkrb53 1.3-3
ii libkvutils2c102 2.0.4-12
ii liblcms1 1.10-1.2
ii liblcms1-dev 1.10-1.2
ii libldap2 2.1.25-1
ii liblocale-gettext-perl 1.01-17
ii liblockfile1 1.05
ii liblua40 4.0-12
ii liblua50 5.0.2-1
ii liblualib50 5.0.2-1
ii liblwres1 9.2.3-2
ii liblzo1 1.08-1
ii libmad0 0.15.0b-3
ii libmad0-dev 0.15.0b-3
ii libmagic1 4.07-2
ii libmagick5.5.7 5.5.7.9-1.1
ii libmal0 0.31-2
ii libmikmod2 3.1.10-5
ii libmm13 1.3.0-1
ii libmng-dev 1.0.5-1
ii libmng1 1.0.5-1
ii libmodplug0 2.04-2
ii libmysqlclient10 3.23.56-2
ii libmysqlclient12 4.0.17-2
ii libnasl2 2.0.9-1
ii libncp 2.2.3-1
ii libncurses5 5.4-3
ii libncursesw5 5.3.20030719-5
ii libnessus2 2.0.9-1
ii libnet-perl 1.17-1
ii libnet1 1.1.1-1
ii libnetpbm10 10.0-3
ii libnetpbm9 10.0-3
ii libnewt-utf8-0 0.50.17-13
ii libnewt0.51 0.51.4-22
ii libnss3 1.6-1
ii libntfs5 1.8.0-2
ii libogg-dev 1.1.0-1
ii libogg0 1.1.0-1
ii liboggflac1 1.1.0-10
ii libopencdk-dev 0.4.2-3
ii libopencdk4 0.4.2-3
ii libopencdk8 0.5.3-1
ii libpam-modules 0.76-15
ii libpam-runtime 0.76-15
ii libpam0g 0.76-15
ii libpam0g-dev 0.76-15
ii libpango1.0-0 1.2.5-2.1
ii libpango1.0-common 1.2.5-2.1
ii libpaper-utils 1.1.14
ii libpaper1 1.1.14
ii libparted1.6-0 1.6.6-8
ii libpcap0.7 0.7.2-5
ii libpcd2 1.0.1
ii libpcre3 4.5-1.1
ii libpcre3-dev 4.5-1.1
ii libperl5.8 5.8.3-1
ii libpisock8 0.11.8-7
ii libpng10-0 1.0.15-4
ii libpng12-0 1.2.5.0-4
ii libpng12-dev 1.2.5.0-4
ii libpopt-dev 1.7-4
ii libpopt0 1.7-4
ii libpt-1.5.2 1.5.2-2
ii libquicktime1 0.9.2release-2
ii libraw1394-5 0.10.1-1
ii libreadline4 4.3-10
ii libreiserfs0.3-0 0.3.0.4-1
ii librpm4 4.0.4-25
ii libruby1.8 1.8.1-7
ii libsasl2 2.1.15-6
ii libsasl7 1.5.28-6.1
ii libsdl-console 1.3-3
ii libsdl-gfx1.2 2.0.9-3
ii libsdl-image1.2 1.2.3-2
ii libsdl-mixer1.2 1.2.5-3
ii libsdl-net1.2 1.2.5-3
ii libsdl-perl 1.20.0-12
ii libsdl-ttf2.0-0 2.0.6-5
ii libsdl1.2debian 1.2.6-3
ii libsdl1.2debian-oss 1.2.6-3
ii libslp1 1.0.11-6
ii libsm-dev 4.3.0-0pre1v5
ii libsm6 4.3.0-0pre1v5
ii libsmbclient 3.0.2-2
ii libsmpeg0 0.4.5+cvs20030824-1
ii libsndfile1 1.0.4-3
ii libspeex1 1.0.rel.3-1
ii libss2 1.34+1.35-WIP-2004.01.31-1
ii libssl-dev 0.9.7c-5
ii libssl0.9.6 0.9.6l-1
ii libssl0.9.7 0.9.7c-5
ii libstartup-notification0 0.5-4
ii libstdc++2.10-glibc2.2 2.95.4-19
ii libstdc++5 3.3.3-6
ii libstdc++5-3.3-dev 3.3.3-0pre3
ii libtasn1-0 0.1.2-1
ii libtasn1-2 0.2.7-1
ii libtasn1-dev 0.1.2-1
ii libtext-charwidth-perl 0.04-1
ii libtext-iconv-perl 1.2-2
ii libtext-wrapi18n-perl 0.06-1
ii libtextwrap1 0.1-1
ii libtiff3g 3.5.7-2
ii libtool 1.5.2-1
ii libttf2 1.4pre.20030402-1.1
ii libungif4g 4.1.0b1-6
ii libusb-0.1-4 0.1.8-1
ii libusb-dev 0.1.8-1
ii libuuid1 1.34+1.35-WIP-2004.01.31-1
ii libvorbis-dev 1.0.1-1
ii libvorbis0a 1.0.1-1
ii libvorbisenc2 1.0.1-1
ii libvorbisfile3 1.0.1-1
ii libweakref-perl 0.01-4
ii libwmf-bin 0.2.8-1.1
ii libwmf0.2-7 0.2.8-1.1
ii libwrap0 7.6-ipv6.1-3
ii libwrap0-dev 7.6-ipv6.1-3
ii libwww-ssl0 5.4.0-9
ii libwxgtk2.4 2.4.2.4
ii libx11-6 4.3.0-0pre1v5
ii libx11-dev 4.3.0-0pre1v5
ii libxaw7 4.3.0-0pre1v5
ii libxaw7-dev 4.3.0-0pre1v5
ii libxcursor-dev 1.0.2-4
ii libxcursor1 1.0.2-4
ii libxdelta2 1.1.3-6
ii libxext-dev 4.3.0-0pre1v5
ii libxext6 4.3.0-0pre1v5
ii libxft1 4.3.0-0pre1v5
ii libxft2 2.1.1-2
ii libxi-dev 4.3.0-0pre1v5
ii libxi6 4.3.0-0pre1v5
ii libxml2 2.6.9-1
ii libxml2-utils 2.6.5-1
ii libxmu-dev 4.3.0-0pre1v5
ii libxmu6 4.3.0-0pre1v5
ii libxmuu-dev 4.3.0-0pre1v5
ii libxmuu1 4.3.0-0pre1v5
ii libxp-dev 4.3.0-0pre1v5
ii libxp6 4.3.0-0pre1v5
ii libxpm-dev 4.3.0-0pre1v5
ii libxpm4 4.3.0-0pre1v5
ii libxrandr-dev 4.3.0-0pre1v5
ii libxrandr2 4.3.0-0pre1v5
ii libxrender-dev 0.8.3-5
ii libxrender1 0.8.3-5
ii libxt-dev 4.3.0-0pre1v5
ii libxt6 4.3.0-0pre1v5
ii libxtrap-dev 4.3.0-0pre1v5
ii libxtrap6 4.3.0-0pre1v5
ii libxtst-dev 4.3.0-0pre1v5
ii libxtst6 4.3.0-0pre1v5
ii libxv-dev 4.3.0-0pre1v5
ii libxv1 4.3.0-0pre1v5
ii libzvbi-common 0.2.5-1
ii libzvbi0 0.2.5-1
ii lilo 22.5.8-11
ii links-ssl 0.98-2
ii linux-kernel-headers-knoppix 0.5-1
ii linux-wlan-ng 0.2.0-13
ii linux-wlan-ng-modules-2.4.24-xf knoppix+0.2.0-5
ii loadlin 1.6c-0.3
ii locales 2.3.2.ds1-11
ii lockfile-progs 0.1.9
ii login 4.0.3-17
ii logrotate 3.6.5-2
ii loop-aes 1.7e-1
ii lrzsz 0.12.21-4
ii lsof 4.64-1
ii lvm-common 1.5.11
ii lvm10 1.0.8-2
ii lynx-ssl 2.8.4.1b-3.1
ii lzop 1.01-1
ii m4 1.4-17
ii macutils 2.0b3-12
ii mailx 8.1.2-0.20031014cvs-1
ii make 3.80-4
ii makedev 2.3.1-65
ii man-db 2.4.2-9
ii manpages 1.62-1
ii manpages-de 0.4-6
ii manpages-dev 1.62-1
ii mawk 1.3.3-11
ii mbr 1.1.5-1
ii mc 4.6.0-4.6.1-pre1-1
ii mdadm 1.4.0-3
ii menu 2.1.9-5
ii mh-e 7.4.3-1
ii mikmod 3.2.1-1
ii mime-support 3.24-1
ii mindi 0.86-2
ii mindi-kernel 1.0-1
ii minicom 2.1-7
ii mkdesktophdicons-knoppix 0.5-2
ii mkdosswapfile-knoppix 0.5-11
ii mkisofs 2.0+a25-1
ii mkmenusfromkde-knoppix 0.5-2
hi mknbi 1.4.0-1
ii mkpersistenthome-knoppix 0.5-4
ii modconf 0.2.45
ii module-init-tools 3.0-pre9-1
ii modutils 2.4.26-1
ii mondo 1.66-2
ii mount-aes 2.11x-1
ii mouseconfig 0.5-2
ii mpack 1.6-1
ii mpage 2.5.3-1
ii mpg321 0.2.10.3
ii mt-st 0.7-2
ii mtools 3.9.9-2
ii mutt 1.5.5.1-20040112+1
ii mysql-client 4.0.17-2
ii mysql-common 4.0.17-2
ii mysql-server 4.0.17-2
ii nasm 0.98.36-1
ii ncpfs 2.2.3-1
ii ncurses-base 5.3.20030719-5
ii ncurses-bin 5.3.20030719-5
ii ne 1.30-1
ii nessus-plugins 2.0.9-2
ii nessusd 2.0.9-3
ii net-tools 1.60-9
ii netbase 4.16
ii netcardconfig-knoppix 0.5-16
ii netcat 1.10-23
ii nethack 3.4.3-4
ii nethack-common 3.4.3-4
ii nethack-console 3.4.3-4
ii nethack-x11 3.4.3-4
ii netkit-inetd 0.10-9
ii netkit-ping 0.10-9
ii netpbm 10.0-3
ii netpipe-tcp 3.6-1
ii netpipes 4.2-3
ii networkconfig-knoppix 0.5-2
ii nfs-common 1.0.6-1
ii nfs-kernel-server 1.0.6-1
ii nis 3.10-5
ii nmap 3.50-1
ii nmh 1.1-RC1-3
ii nparted 0.1-8
ii ntfstools 1.8.0-2
ii ntpdate 4.1.2a-2
ii openssl 0.9.7c-5
ii orinoco 0.13e-1
ii partimage 0.6.4-1
ii partimage-server 0.6.4-1
ii passwd 4.0.3-17
ii patch 2.5.9-1
ii pciutils 2.1.11-7
ii pciutils-dev 2.1.11-7
ii pcmcia-cs 3.2.5-2
ii perl 5.8.3-1
ii perl-base 5.8.3-1
ii perl-modules 5.8.3-1
ii php4 4.3.3-5
ii php4-cgi 4.3.4-4
ii php4-mysql 4.3.3-5
ii pilot-link 0.11.8-7
ii pkg-config 0.15.0-3
ii playmidi 2.4-6
ii pm-dev 4.3.0-0pre1v5
ii pnm2ppa 1.12-10
ii po-debconf 0.8.8
ii portmap 5-2.1
ii poster 20020830-2
ii powermgmt-base 1.17
ii ppmd 9.1-8
ii ppmtofb 0.32
ii ppp 2.4.2+20031127-2
ii ppp-scripts-knoppix 0.5-2
hi pppconfig 2.1
ii pppdcapiplugin 3.3-7
ii pppoe 3.5-3
ii pppoeconf 1.0
ii pppstatus 0.4.2-6
ii pptp-linux 1.3.1-1
ii prism54 0.1-1
ii prism54-nonfree 0.1-1
ii procmail 3.22-9
ii procps 3.1.15-2
ii psfontmgr 0.11.7
ii psmisc 21.4-1
ii psutils 1.17-17
ii pump 0.8.19-3
ii python 2.3.3-7
ii python2.3 2.3.3-6
ii python2.3-imaging 1.1.4-3
ii python2.3-tk 2.3.3-6
ii radio 3.91
ii raidtools2 1.00.3-5
ii rcs 5.7-13.1
ii rdate 1.4-4
ii rebuildfstab-knoppix 0.5-6
ii reiserfsprogs 3.6.11-1.1
ii render-dev 0.8-3
ii rootshell-knoppix 0.5-2
ii rosegarden 2.1pl3-1
ii rpm 4.0.4-25
ii rsync 2.6.0-2
ii ruby 1.8.1-3
ii ruby1.8 1.8.1-7
ii rxvt-beta 2.7.8-5
ii s3switch 0.0.20030423-2
ii samba 3.0.2-2
ii samba-common 3.0.2-2
ii sambastart-knoppix 0.1-3
ii sash 3.7-3
ii saveconfig-knoppix 0.5-12
ii scanpartitions-knoppix 0.5-4
ii scantv 3.91
ii scli 0.2.12-1
ii screen 4.0.2-2
ii sed 4.0.7-3
ii sendfile 2.1-26
ii setserial 2.17-33
ii shaper 2.2.12-0.7.1-2
ii sharutils 4.2.1-10
ii shellutils 5.0.91-2
ii sitar 0.8.4-1
ii slang1 1.4.9-2
ii slang1a-utf8 1.4.9-2
ii slrn 0.9.8.0-10
ii smail 3.2.0.115-5
ii smartsuite 2.1-1
ii smbclient 3.0.2-2
ii smbfs 3.0.2-2
ii sndconfig-knoppix 0.57-7
ii sound-recorder 0.06-6
ii soundcardconfig-knoppix 0.5-2
ii sox 12.17.4-7
ii speedtouch 1.2-0beta3-1
ii speex 1.0.rel.3-1
ii squid 2.5.4-3
ii ssh 3.6.1p2-12
ii sshstart-knoppix 0.5-2
ii sslwrap 2.0.6-12
ii startsyslog-knoppix 0.5-1
ii statserial 1.1-21
ii strace 4.5-1
ii stunnel 3.26-1
ii sudo 1.6.7p5-1
ii sudoers-knoppix 0.5-1
ii symlinks 1.2-4.1
ii sysklogd 1.4.1-13
ii syslinux-knoppix 2.04-1
ii sysutils 1.3.8.5.1
ii sysvinit 2.84-168
hc sysvinit-knoppix 2.84-1
ii t1lib1 1.3.1-9
ii tar 1.13.92-4
ii tasksel 1.43
ii tcl8.3 8.3.5-4
ii tcl8.3-dev 8.3.5-4
ii tcl8.4 8.4.5-1
ii tclx8.3 8.3.5-4
ii tclx8.3-dev 8.3.5-4
ii tcpd 7.6-ipv6.1-3
ii tcpdump 3.7.2-3
ii tct 1.11-6
ii telnet-ssl 0.17.17+0.1-2
ii telnetd-ssl 0.17.17+0.1-2
ii testdisk 4.2-1
ii tetex-base 2.0.2-5.1
ii tetex-bin 2.0.2-7
ii tetex-extra 2.0.2-3
ii texinfo 4.6-1
ii textutils 5.0.91-2
ii tftp 0.17-10
ii tftpd-hpa 0.36-1
ii thttpd 2.23beta1-2.3
ii timeout 1.11-6
ii tk8.4 8.4.5-1
ii tnef 1.2.3-0.1
ii tnt 2.4-2
ii traceroute 1.4a12-13
ii transfig 3.2.4-rel-6
ii tsocks 1.8beta5-1.1
ii ttf-bitstream-vera 1.10-3
ii ttmkfdir 3.0.9-3
ii txt2regex 0.7-6
ii type1inst 0.6.1-3.1
ii ucf 0.27
ii unarj 2.65-1
ii unifont 1.0-1
ii unp 1.0.9
ii unzip 5.50-3
ii unzoo 4.4-2
ii update 2.11-4
ii urlview 0.9-10
ii usbutils 0.11-7
ii user-de 0.20
ii user-profile-knoppix 0.6-24
ii usleep-knoppix 0.5-1
ii util-linux 2.12-6
ii util-linux-locales 2.12-6
ii uudeview 0.5.19+beta20030413-2
ii v4l-conf 3.91
ii vcdtools 0.4-2
ii vim 6.2-426+1
ii vim-common 6.2-426+1
ii vm 7.18-7
ii vnc-common 3.3.7-1
ii vncserver 3.3.7-1
ii vorbis-tools 1.0.1-1
ii vpnc 0.2-rm+zomb-pre7-3
ii vsound 0.5-7
ii w3-el-e21 4.0pre.2001.10.27-15
ii w3-url-e21 2001.11.08-7
ii w3m 0.5-6
ii w3m-el 1.3.6-4
ii wavemon 0.4.0b-5
ii wavtools 1.3.2-8
ii wget 1.9.1-4
ii whiptail 0.51.4-22
ii whois 4.6.11
ii wipe 0.19.20030913-1
ii wireless-tools 26+27pre9-2
ii wlcardconfig-knoppix 0.5-4
ii wordtrans-data 1.1pre13-4
ii workbone 2.40-4
ii wprint 2.04-1
ii wvdial 1.53.0.1
ii x-dev 4.3.0-0pre1v5
ii x-ttcidfont-conf 14
ii x3270 3.2.20-2
ii xaw3dg 1.5+E-6
ii xawtv-plugins 3.91
ii xbase-clients 4.3.0-0pre1v5
